8923,PSYC 350,2,Forensic Psychology,3,NULL,Lec,TR,0800-0915,FORBES 2015,"Romito, Meredith",1,Open,2022,Spring
8924,PSYC 360,1,Evolutionary Psychology,3,NULL,Lec,TR,1100-1215,FORBES 2070A,"Niehaus, Jeffrey",20,Open,2022,Spring
8925,PSYC 404,1,Biopsychology,3,NULL,Lec,MWF,1300-1350,FORBES 2009,"Campolattaro, Matthew",0,Closed,2022,Spring
8926,PSYC 404L,1,Biopsychology Lab,1,NULL,Lab,W,1400-1645,FORBES 2009,"Campolattaro, Matthew",1,Open,2022,Spring
8927,PSYC 405,1,Motivation and Emotion,3,NULL,Lec,MWF,0800-0850,FORBES 2070D,"Hunter, Laurie",0,Closed,2022,Spring
8928,PSYC 405L,1,Motivation and Emotion Lab,1,NULL,Lab,MWF,0900-0950,FORBES 2002,"Hunter, Laurie",0,Closed,2022,Spring
8929,PSYC 405L,2,Motivation and Emotion Lab,1,NULL,Lab,MWF,1000-1050,FORBES 2002,"Hunter, Laurie",0,Closed,2022,Spring
8930,PSYC 408,1,Psychopharmacology,3,NULL,Lec,TR,0930-1045,FORBES 2009,"Lange, Michelle",0,Closed,2022,Spring
8931,PSYC 408L,1,Psychopharmacology Lab,1,NULL,Lab,TR,1100-1215,FORBES 2009,"Lange, Michelle",0,Closed,2022,Spring
8932,PSYC 409,1,Behvr Medicine/Hlth Psyc,3,NULL,Lec,W,1800-2045,FORBES 2070D,"Berry, Thomas",0,Closed,2022,Spring
8933,PSYC 409L,1,Behvr Medicine/Hlth Psyc Lab,1,NULL,Lab,TR,1800-1915,FORBES 2088,"Berry, Thomas",0,Closed,2022,Spring
8934,PSYC 409L,2,Behvr Medicine/Hlth Psyc Lab,1,NULL,Lab,TR,1630-1745,FORBES 2088,"Berry, Thomas",0,Closed,2022,Spring
8920,PSYC 336,1,"Death, Dying, &amp; Bereavement",3,NULL,Lec,M,1800-2045,FORBES 2070E,"Lee, Sherman",0,Closed,2022,Spring
8936,PSYC 410L,1,Tests and Measurement Lab,1,NULL,Lab,TR,1500-1615,FORBES 2014,"Hart, Jason",0,Closed,2022,Spring
8937,PSYC 415,1,Comparative Psychology,3,NULL,Lec,MWF,0900-0950,FORBES 2009,"Velkey, Andrew",0,Closed,2022,Spring
8938,PSYC 415L,1,Comparative Psychology Lab,1,NULL,Lab,M,1400-1645,FORBES 2009,"Velkey, Andrew",0,Closed,2022,Spring
8939,PSYC 420,1,Human Sexuality,3,NULL,Lec,TR,1630-1745,FORBES 2070D,"Frieden, Fredrick",3,Open,2022,Spring
8940,PSYC 444,1,Psychology of Creat/Crit Think,3,NULL,Lec,MWF,1100-1150,FORBES 2070C,"Dow, Gayle",0,Closed,2022,Spring
8941,PSYC 444L,1,Psyc of Creat/Crit Think Lab,1,NULL,Lab,MWF,1200-1250,FORBES 2002,"Dow, Gayle",0,Closed,2022,Spring
8942,PSYC 444L,2,Psyc of Creat/Crit Think Lab,1,NULL,Lab,MWF,1300-1350,FORBES 2002,"Dow, Gayle",0,Closed,2022,Spring
8947,PSYC 521,1,Reading Acquisition &amp; Devlpmnt,3,NULL,Lec,M,1600-1845,FORBES 2070C,"Savage, Donna",2,Open,2022,Spring
